ID,DESCRICAO,PRECOVENDA,CODBARRAS
138,ESPELHO BIZ 125/BROS 2009/POP100 GVS,"23,00",NULL
139,OLEO IPIRANGA MOTO PROTECTION 20W50 1 LT,"20,00",NULL
140,"ESPELHO  MINI TITAN 2014 H,PRATA ADAPT. HONDA PAR","25,00",NULL
141,RETROVISOR YBR H. PRETA/ L. PRATA YAMAHA,"25,00",NULL
142,ESPELHO  TITAN MEDIO H.CROMADA/LPRATA ADAPT.YAMAHA,"22,00",NULL
143,ESPELHO  TITAN 150 MOD ORIGINAL PAR/H - GVS SPORT,"20,00",NULL
144,ESPELHO TITAN 125/150 2014 PAR - GVS SPORT,"45,00",NULL
145,FILTRO DE AR  COMPATIVEL  BIZ 100 13 -DANNIXX,"30,00",7899468039904
146,FILTRO DE AR  COMPATIVEL  BIZ 125CC,"20,00",NULL
147,FILTRO DE AR  COMPATIVEL  BIZ 125 11-12 - VEDAMOTO,"20,00",NULL
148,,"70,00",7898442109756
149,FILTRO DE AR  NXR/BROS 125-150 -2003/POP 100 -2007  -FILTRAN,"30,00",7899613921719
150,FILTRO DE AR  TITAN ES/KS/FAN125 2005/8,"15,00",NULL
151,FILTRO DE AR CG TITAN 150 2051016 - FILTR,"20,00",NULL
152,FILTRO DE AR CG  TITAN 125 2000,"20,00",NULL
153,CAPA DE BANCO P/ POP PRETO - CAPAS CAPIXABA,"20,00",NULL
154,CAPA  BIZ 125 2018 RT 1065,"45,00",7898673460565
155,CAPA DE BANCO P/   TITAN 150 05/08,"15,00",NULL
156,CAPA DE BANCO P/ NXR 125/150 CBH-016,"38,00",606529373023
157,CAPA DE BANCO P/ FACTOR 125 - CAPAS CAPIXABAS,"18,00",NULL
158,CAPADE BANCO P/ TITAN  99 -CAPIXABA,"35,00",606529373092
159,CAPA DE BANCO  P/ NXR / BROSS 15 PRETO - CAPAS CAP,"20,00",NULL
160,CAPA DE  BANCO  P/ TITAN 2000 PRETA - GRAPEX,"15,00",NULL
161,CAPA P/ BANCO  BIZ 125/2011 - CAPIXABA,"18,00",NULL
162,PAINEL COMPLETO BIZ 125 05/08,"165,00",NULL
163,PAINEL COMPLETO TITAN 150 04/08,"130,00",NULL
164,PAINEL COMPLETO TITAN KS/ES,"120,00",NULL
165,CAPA DE CHUVA DELTA  GG,"125,00",NULL
166,CAPA DE CHUVA PANTANEIROS G,"98,00",NULL
167,CAPA  DE CHUVA DELTA M,"125,00",NULL
168,CAPA DE CHUVA  DELTA G,"125,00",NULL
169,CAPA  CORRENTE TITAN 150 CROMADA,"23,00",NULL
170,CAPA  CORRENTE TITAN 2000,"15,00",NULL
171,CAPA  CORRENTE  BIZ 125 100,"12,00",NULL
172,CAPA CORRENTE  BROS/ALCON,"35,00",7897846413995
173,LENTE DO PISCA TITAN 2000 S/QS TWISTTER AZUL - PEC,"5,50",NULL
174,LENTE PISCA YBR FACTOR CRIST - GEAP,"8,00",NULL
175,LENTE DO PISCA  TRAS ESQUERDA BIZ C 100 AMARELA ST,"10,00",NULL
176,LENTE TITAN FUME LISA,"6,00",NULL
177,LENTE DO PISCA TRASEIRO ESQ BIZ FUME AMARELO - STL,"7,00",NULL
178,PISCA COMPATIVEL TITAN 2000 / 150 DIANT DIR /TRAS,"13,00",NULL
179,LENTE DO PISCA TITAN 2000 / ES/KS TWISTTER ROSA,"5,50",NULL
180,LENTE DO PISCA TRASEIRO DIREITO BIZ 100 AMARELA -,"6,00",NULL
181,LENTE DO PISCA TITAN 2000 TWISTTER /CB300,"5,50",NULL
182,LENTE DO PISCA TITAN 2000 KS/ES TWISTTER LILAS,"5,50",NULL
183,LENTE DO PISCA TRAS DIREITO BIZ FUME,"6,00",NULL
184,LENTE DO PISCA DIREITO BIZ 100 AMARELO,"6,00",NULL
185,LENTE TITAN  125/150 KS LENTE LARANJA,"5,50",NULL
186,PISCA DIANT. ESQUERDO CRISTAL COMP. BIZ125 11/17 -PLASMOTO,"120,00",7898442105178
187,LENTE TITAN CRISTAL - GVS SPORT,"6,00",NULL
188,CUBO DA RODA TRASEIRA CG TITAN 125 2000 - COBREQ,"90,00",NULL
189,CUBO DA RODA TRASEIRA TITAN/ TODAY - COBREQ,"85,00",NULL
190,CUBO DA RODA TRASEIRA DA XLR NX 150-200 - FABRECK,"310,00",751320394545
191,CUBO DA RODA TRASEIRA DA CG 150 TITAN  2004 - DIA,"120,00",NULL
192,CUBO DA RODA TRASEIRA DA CG 125 TITAN  2000 - DIA,"90,00",NULL
193,CUBO DA RODA DIANTEIRO PARA FREIO A DISCO CG 150 T,"165,00",NULL
194,CUBO DA RODA TRASEIRO CRYPTON  - FABRECK,"115,00",NULL
195,CUBO DA RODA TRAS DA BIZ C 100 - C 125 - DIA FRAG,"85,00",606529170554
196,CUBO DA RODA DIANTEIRA DA BIZ 100 - FABRECK,"85,00",NULL
197,CUBO DA RODA DIANTEIRA TITAN 150 - FABRECK,"85,00",NULL
198,CUBO DA RODA DIANTEIRA TITAN 125 2000 - FABRECK,"80,00",NULL
199,CUBO DA RODA TRASEIRO FAN 2009 - FABRECK,"215,00",NULL
200,CUBO DA RODA TRASEIRO XTZ 125 - FABRECK,"315,00",NULL
201,PASTILHA DE FREIO NX FALCON  400 99...(T)/ XR 400,"40,00",NULL
202,LONA DE FREIO TITAN /BIZ DIANT/BROS DIANT / TWISTE,"23,00",NULL
203,LONA DE FREIO FAZER 250 (T) / YBR FACTOR (T/D),"40,00",NULL
204,"LONA DE FREIO CG, ML, TURUNA, TODAY (T)/ CARGO,TIT","20,00",NULL
205,LONA DE FREIO FAZER 250 2004 (T),"22,00",NULL
206,LONA DE FREIO YBR K/E D/T ED- (T),"25,00",NULL
207,LONA DE FREIO BIZ 100/125 (T)/ NXR125/150/160 BROS,"20,00",NULL
208,PEDAL DE PARTIDA BIZ 100/DREAM/POP 100 CROMADO,"35,00",NULL
209,LONA DE FREIO  TITAN 99 D BIZ XL 125/250 D TORNADO,"18,00",NULL
210,PASTILHA FREIO TURUNA/ML,"20,00",NULL
211,LONA DE FREIO CG/ML TURUNA (D) 83 / (T) 83/99 COBR,"20,00",NULL
212,PEDAL DE CAMBIO BIZ 100 KS EVOL,"35,00",NULL
213,PEDAL DE PARTIDA TITAN 150 EVOL,"38,00",NULL
214,,"23,00",NULL
215,"PASTILHA DE FREIO ML 125, TURUNA 125 83/ CBX 150 A","25,00",NULL
216,PEDAL CAMBIO NXR 125/150,"25,00",NULL
217,PEDAL DE  PARTIDA BIZ 125,"40,00",NULL
218,PATINS DE FREIO YBR 125 DT/YBR 125 TRAS/XTZ 125/ XT 25 TRAS/ FAZER 250 TRAS -COBREQ,"48,00",7892679250106
219,PASTILHA DE FREIO TITAN 150 ES 2009 - COBREQ,"30,00",NULL
220,LONA DE FREIO  TBR 125 ED 00/T FAZER 250 TRAS - CO,"25,00",NULL
221,PEDAL CAMBIO YBR - SCT,"50,00",2725440000134
222,PEDAL DE PARTIDA  TITAN CG 125 - KS-ES TITAN CG 12,"35,00",NULL
223,PEDAL DE CAMBIO  NXR BROS 125/150,"22,00",NULL
224,PEDAL CAMBIO TITAN 150 04/09,"35,00",NULL
225,PEDAL CAMBIO  TITAN 2000,"45,00",4020370000000
226,PEDAL DE PARTIDA  YBR K,"35,00",NULL
227,PEDAL DE PARTIDA  BIZ 125- CROMADO,"35,00",NULL
228,PEDAL  CAMBIO  TITAN 2000,"30,00",NULL
229,MANICOTO DIREITO COMP/ TODAY 89/91 XL 125-250,"15,00",NULL
230,MANICOTO ESQUERDO COMP/ YBR 125,"8,00",NULL
231,RAIO XTZ 125 TRAS C/ NIPLE - VEI,"75,00",414611
232,RAIO TRAS CG/ XL 125/ TODAY/ TITAN 36 PCS,"55,00",NULL
233,RAIO XRE300 CROMADO 4MM - DDL,"95,00",7898944032927
234,RAIO XRE300 TRAS CROMADO 4MM - DDL,"95,00",7898944032934
235,RAIO TRAS CG/ XL 125/150 CROMADO 4MM - GRAPEX,"75,00",NULL
236,RAIO TRAS TITAN 125/150 KS/ES 4MM -EVOL,"55,00",NULL
237,RAIO TRAS CG TITAN/99 4MM - EVOL,"55,00",NULL
238,,"55,00",NULL
239,,"70,00",NULL
240,,"68,00",NULL
241,,"68,00",NULL
242,"RAIO POP 100 DIANT CROM 3,2 MM","58,00",NULL
243,MANICOO ESQUERDO NX150/200,"4,00",NULL
244,MANETE   DA EMBREAGEM  CG 92-95/ TITAN KS/ES,"10,00",NULL
245,RAIO DIANT BROS CROMADO,"65,00",NULL
246,"RAIO TRAS TORNADO CROM 3,2MM","65,00",NULL
247,MANETE DA EMBREAGEM XLR/XLX/XLS - COMETA,"25,00",7898435530833
248,MANETE YBR 125 - COMETA,"18,00",NULL
